"","term","gene","Genes_in_Pathway"
"1110","O-Glycan Biosynthesis","GALNT14",24
"1111","O-Glycan Biosynthesis","GALNT2",24
"1112","O-Glycan Biosynthesis","GALNT3",24
"1113","O-Glycan Biosynthesis","GALNT4",24
"1114","O-Glycan Biosynthesis","GALNT5",24
"1115","O-Glycan Biosynthesis","GALNT6",24
"1116","O-Glycan Biosynthesis","GALNT7",24
"1117","O-Glycan Biosynthesis","GALNT8",24
"1118","O-Glycan Biosynthesis","GALNT9",24
"1119","O-Glycan Biosynthesis","GALNTL2",24
"1120","O-Glycan Biosynthesis","GCNT1",24
"1121","O-Glycan Biosynthesis","GCNT3",24
"1122","O-Glycan Biosynthesis","GCNT4",24
"1123","O-Glycan Biosynthesis","ST3GAL1",24
"1124","O-Glycan Biosynthesis","ST6GALNAC1",24
"1125","O-Glycan Biosynthesis","UGDH",24
"1126","Oxidative Phosphorylation","ATP5A1",82
"1127","Oxidative Phosphorylation","ATP5B",82
"1128","Oxidative Phosphorylation","ATP5C1",82
"1129","Oxidative Phosphorylation","ATP5D",82
"1130","Oxidative Phosphorylation","ATP5E",82
"1131","Oxidative Phosphorylation","ATP5F1",82
"1132","Oxidative Phosphorylation","ATP5G1",82
"1133","Oxidative Phosphorylation","ATP5G2",82
"1134","Oxidative Phosphorylation","ATP5G3",82
"1135","Oxidative Phosphorylation","ATP5H",82
"1136","Oxidative Phosphorylation","ATP5I",82
"1137","Oxidative Phosphorylation","ATP5J",82
"1138","Oxidative Phosphorylation","ATP5J2",82
"1139","Oxidative Phosphorylation","ATP5L",82
"1140","Oxidative Phosphorylation","COX4I1",82
"1141","Oxidative Phosphorylation","COX4I2",82
"1142","Oxidative Phosphorylation","COX5A",82
"1143","Oxidative Phosphorylation","COX5B",82
"1144","Oxidative Phosphorylation","COX6A1",82
"1145","Oxidative Phosphorylation","COX6A2",82
"1146","Oxidative Phosphorylation","COX6B1",82
"1147","Oxidative Phosphorylation","COX6B2",82
"1148","Oxidative Phosphorylation","COX6C",82
"1149","Oxidative Phosphorylation","COX7A1",82
"1150","Oxidative Phosphorylation","COX7A2",82
"1151","Oxidative Phosphorylation","COX7A2L",82
"1152","Oxidative Phosphorylation","COX7B",82
"1153","Oxidative Phosphorylation","COX7B2",82
"1154","Oxidative Phosphorylation","COX7C",82
"1155","Oxidative Phosphorylation","COX8A",82
"1156","Oxidative Phosphorylation","COX8C",82
"1157","Oxidative Phosphorylation","CYC1",82
"1158","Oxidative Phosphorylation","NDUFA1",82
"1159","Oxidative Phosphorylation","NDUFA10",82
"1160","Oxidative Phosphorylation","NDUFA11",82
"1161","Oxidative Phosphorylation","NDUFA12",82
"1162","Oxidative Phosphorylation","NDUFA13",82
"1163","Oxidative Phosphorylation","NDUFA2",82
"1164","Oxidative Phosphorylation","NDUFA3",82
"1165","Oxidative Phosphorylation","NDUFA4",82
"1166","Oxidative Phosphorylation","NDUFA5",82
"1167","Oxidative Phosphorylation","NDUFA6",82
"1168","Oxidative Phosphorylation","NDUFA7",82
"1169","Oxidative Phosphorylation","NDUFA8",82
"1170","Oxidative Phosphorylation","NDUFA9",82
"1171","Oxidative Phosphorylation","NDUFAB1",82
"1172","Oxidative Phosphorylation","NDUFB1",82
"1173","Oxidative Phosphorylation","NDUFB10",82
"1174","Oxidative Phosphorylation","NDUFB2",82
"1175","Oxidative Phosphorylation","NDUFB3",82
"1176","Oxidative Phosphorylation","NDUFB4",82
"1177","Oxidative Phosphorylation","NDUFB5",82
"1178","Oxidative Phosphorylation","NDUFB6",82
"1179","Oxidative Phosphorylation","NDUFB7",82
"1180","Oxidative Phosphorylation","NDUFB8",82
"1181","Oxidative Phosphorylation","NDUFB9",82
"1182","Oxidative Phosphorylation","NDUFC1",82
"1183","Oxidative Phosphorylation","NDUFC2",82
"1184","Oxidative Phosphorylation","NDUFS1",82
"1185","Oxidative Phosphorylation","NDUFS2",82
"1186","Oxidative Phosphorylation","NDUFS3",82
"1187","Oxidative Phosphorylation","NDUFS4",82
"1188","Oxidative Phosphorylation","NDUFS5",82
"1189","Oxidative Phosphorylation","NDUFS6",82
"1190","Oxidative Phosphorylation","NDUFS7",82
"1191","Oxidative Phosphorylation","NDUFS8",82
"1192","Oxidative Phosphorylation","NDUFV1",82
"1193","Oxidative Phosphorylation","NDUFV2",82
"1194","Oxidative Phosphorylation","NDUFV3",82
"1195","Oxidative Phosphorylation","SLC25A4",82
"1196","Oxidative Phosphorylation","SLC25A5",82
"1197","Oxidative Phosphorylation","SLC25A6",82
"1198","Oxidative Phosphorylation","UCP1",82
"1199","Oxidative Phosphorylation","UCP2",82
"1200","Oxidative Phosphorylation","UCP3",82
"1201","Oxidative Phosphorylation","UQCR10",82
"1202","Oxidative Phosphorylation","UQCRB",82
"1203","Oxidative Phosphorylation","UQCRC1",82
"1204","Oxidative Phosphorylation","UQCRC2",82
"1205","Oxidative Phosphorylation","UQCRFS1",82
"1206","Oxidative Phosphorylation","UQCRH",82
"1207","Oxidative Phosphorylation","UQCRQ",82
"1208","Pentose Phosphate Pathway","FBP1",19
"1209","Pentose Phosphate Pathway","FBP2",19
"1210","Pentose Phosphate Pathway","PGM2",19
"1211","Pentose Phosphate Pathway","DCXR",19
"1212","Pentose Phosphate Pathway","XYLB",19
"1213","Pentose Phosphate Pathway","G6PD",19
"1214","Pentose Phosphate Pathway","H6PD",19
"1215","Pentose Phosphate Pathway","PGD",19
"1216","Pentose Phosphate Pathway","PGLS",19
"1217","Pentose Phosphate Pathway","PRPS1",19
"1218","Pentose Phosphate Pathway","PRPS1L1",19
"1219","Pentose Phosphate Pathway","PRPS2",19
"1220","Pentose Phosphate Pathway","RBKS",19
"1221","Pentose Phosphate Pathway","RPE",19
"1222","Pentose Phosphate Pathway","RPIA",19
"1223","Pentose Phosphate Pathway","TALDO1",19
"1224","Pentose Phosphate Pathway","TKT",19
"1225","Pentose Phosphate Pathway","TKTL1",19
"1226","Pentose Phosphate Pathway","TKTL2",19
"1227","Phenylalanine metabolism","ALDH3A1",24
"1228","Phenylalanine metabolism","ALDH3B1",24
"1229","Phenylalanine metabolism","ALDH3B2",24
"1230","Phenylalanine metabolism","ABP1",24
"1231","Phenylalanine metabolism","AOC2",24
"1232","Phenylalanine metabolism","DDC",24
"1233","Phenylalanine metabolism","GOT1",24
"1234","Phenylalanine metabolism","GOT2",24
"1235","Phenylalanine metabolism","HPD",24
"1236","Phenylalanine metabolism","MAOA",24
"1237","Phenylalanine metabolism","MAOB",24
"1238","Phenylalanine metabolism","PAH",24
"1239","Phenylalanine metabolism","SLC16A10",24
"1240","Phenylalanine metabolism","SLC38A1",24
"1241","Phenylalanine metabolism","SLC38A2",24
"1242","Phenylalanine metabolism","SLC38A4",24
"1243","Phenylalanine metabolism","SLC43A1",24
"1244","Phenylalanine metabolism","SLC43A2",24
"1245","Phenylalanine metabolism","SLC6A14",24
"1246","Phenylalanine metabolism","SLC7A2",24
"1247","Phenylalanine metabolism","SLC7A3",24
"1248","Phenylalanine metabolism","SLC7A5",24
"1249","Phenylalanine metabolism","SLC7A8",24
"1250","Phenylalanine metabolism","TAT",24
"1251","Phosphate Metabolism","PPA1",2
"1252","Phosphate Metabolism","PPA2",2
"1253","Phosphoinositide Signalling","HCST",47
"1254","Phosphoinositide Signalling","INPP1",47
"1255","Phosphoinositide Signalling","INPP4A",47
"1256","Phosphoinositide Signalling","INPP4B",47
"1257","Phosphoinositide Signalling","INPP5A",47
"1258","Phosphoinositide Signalling","INPP5B",47
"1259","Phosphoinositide Signalling","INPP5D",47
"1260","Phosphoinositide Signalling","INPP5E",47
"1261","Phosphoinositide Signalling","INPPL1",47
"1262","Phosphoinositide Signalling","ITPKA",47
"1263","Phosphoinositide Signalling","ITPKB",47
"1264","Phosphoinositide Signalling","ITPKC",47
"1265","Phosphoinositide Signalling","MTMR3",47
"1266","Phosphoinositide Signalling","OCRL",47
"1267","Phosphoinositide Signalling","PIK3C2A",47
"1268","Phosphoinositide Signalling","PIK3C2B",47
"1269","Phosphoinositide Signalling","PIK3C2G",47
"1270","Phosphoinositide Signalling","PIK3C3",47
"1271","Phosphoinositide Signalling","PIK3CA",47
"1272","Phosphoinositide Signalling","PIK3CB",47
"1273","Phosphoinositide Signalling","PIK3CD",47
"1274","Phosphoinositide Signalling","PIK3CG",47
"1275","Phosphoinositide Signalling","PIK3R1",47
"1276","Phosphoinositide Signalling","PIK3R2",47
"1277","Phosphoinositide Signalling","PIK3R3",47
"1278","Phosphoinositide Signalling","PIK3R5",47
"1279","Phosphoinositide Signalling","PIP5K1A",47
"1280","Phosphoinositide Signalling","PIP5K1B",47
"1281","Phosphoinositide Signalling","PIP5K1C",47
"1282","Phosphoinositide Signalling","PLCB1",47
"1283","Phosphoinositide Signalling","PLCB2",47
"1284","Phosphoinositide Signalling","PLCB3",47
"1285","Phosphoinositide Signalling","PLCB4",47
"1286","Phosphoinositide Signalling","PLCD1",47
"1287","Phosphoinositide Signalling","PLCD3",47
"1288","Phosphoinositide Signalling","PLCD4",47
"1289","Phosphoinositide Signalling","PLCE1",47
"1290","Phosphoinositide Signalling","PLCG1",47
"1291","Phosphoinositide Signalling","PLCG2",47
"1292","Phosphoinositide Signalling","PLCH1",47
"1293","Phosphoinositide Signalling","PLCH2",47
"1294","Phosphoinositide Signalling","PLCL1",47
"1295","Phosphoinositide Signalling","PLCXD2",47
"1296","Phosphoinositide Signalling","PLCZ1",47
"1297","Phosphoinositide Signalling","PTEN",47
"1298","Phosphoinositide Signalling","SYNJ1",47
"1299","Phosphoinositide Signalling","SYNJ2",47
"1300","Polyamines Metabolism","ADC",11
"1301","Polyamines Metabolism","AGMAT",11
"1302","Polyamines Metabolism","AMD1",11
"1303","Polyamines Metabolism","MAOA",11
"1304","Polyamines Metabolism","MAOB",11
"1305","Polyamines Metabolism","ODC1",11
"1306","Polyamines Metabolism","SAT2",11
"1307","Polyamines Metabolism","SMS",11
"1308","Polyamines Metabolism","SMOX",11
"1309","Polyamines Metabolism","SRM",11
"1310","Polyamines Metabolism","SSAT2",11
"1311","Porphyrin and Heme Metabolism","ALAD",20
"1312","Porphyrin and Heme Metabolism","ALAS1",20
"1313","Porphyrin and Heme Metabolism","ALAS2",20
"1314","Porphyrin and Heme Metabolism","BLVRA",20
"1315","Porphyrin and Heme Metabolism","BLVRB",20
"1316","Porphyrin and Heme Metabolism","CPOX",20
"1317","Porphyrin and Heme Metabolism","CYBRD1",20
"1318","Porphyrin and Heme Metabolism","FECH",20
"1319","Porphyrin and Heme Metabolism","FTH1",20
"1320","Porphyrin and Heme Metabolism","FTMT",20
"1321","Porphyrin and Heme Metabolism","HCCS",20
"1322","Porphyrin and Heme Metabolism","HMBS",20
"1323","Porphyrin and Heme Metabolism","HMOX1",20
"1324","Porphyrin and Heme Metabolism","HMOX2",20
"1325","Porphyrin and Heme Metabolism","PPOX",20
"1326","Porphyrin and Heme Metabolism","SLC46A1",20
"1327","Porphyrin and Heme Metabolism","SLCO1B1",20
"1328","Porphyrin and Heme Metabolism","SLCO1B3",20
"1329","Porphyrin and Heme Metabolism","UROD",20
"1330","Porphyrin and Heme Metabolism","UROS",20
"1331","Propanoate Metabolism","HIBCH",7
"1332","Propanoate Metabolism","SLC16A1",7
"1333","Propanoate Metabolism","SLC16A3",7
"1334","Propanoate Metabolism","SLC16A7",7
"1335","Propanoate Metabolism","SLC16A8",7
"1336","Propanoate Metabolism","SLC5A12",7
"1337","Propanoate Metabolism","SLC5A8",7
"1338","Protein Modification","P4HA1",11
"1339","Protein Modification","P4HA2",11
"1340","Protein Modification","P4HB",11
"1341","Protein Modification","GGPS1",11
"1342","Protein Modification","HMGCR",11
"1343","Protein Modification","SLC25A1",11
"1344","Protein Modification","SLC33A1",11
"1345","Protein Modification","MTMR3",11
"1346","Protein Modification","PLOD1",11
"1347","Protein Modification","PLOD2",11
"1348","Protein Modification","PLOD3",11
"1349","Pterin Biosynthesis","GCH1",5
"1350","Pterin Biosynthesis","PCBD1",5
"1351","Pterin Biosynthesis","PTS",5
"1352","Pterin Biosynthesis","QDPR",5
"1353","Pterin Biosynthesis","SPR",5
"1354","Purine Biosynthesis","ADSL",12
"1355","Purine Biosynthesis","ATIC",12
"1356","Purine Biosynthesis","GART",12
"1357","Purine Biosynthesis","PAICS",12
"1358","Purine Biosynthesis","PFAS",12
"1359","Purine Biosynthesis","PPAT",12
"1360","Purine Biosynthesis","GMPS",12
"1361","Purine Biosynthesis","IMPDH1",12
"1362","Purine Biosynthesis","IMPDH2",12
"1363","Purine Biosynthesis","PRPS1",12
"1364","Purine Biosynthesis","PRPS1L1",12
"1365","Purine Biosynthesis","PRPS2",12
"1366","Purine Metabolism","ADK",28
"1367","Purine Metabolism","ADSS",28
"1368","Purine Metabolism","ADSSL1",28
"1369","Purine Metabolism","AK1",28
"1370","Purine Metabolism","AK2",28
"1371","Purine Metabolism","AK3",28
"1372","Purine Metabolism","AK3L1",28
"1373","Purine Metabolism","AK5",28
"1374","Purine Metabolism","AK7",28
"1375","Purine Metabolism","AMPD1",28
"1376","Purine Metabolism","AMPD2",28
"1377","Purine Metabolism","AMPD3",28
"1378","Purine Metabolism","GMPR",28
"1379","Purine Metabolism","GMPR2",28
"1380","Purine Metabolism","GUK1",28
"1381","Purine Metabolism","ITPA",28
"1382","Purine Metabolism","NT5C1B",28
"1383","Purine Metabolism","NT5C2",28
"1384","Purine Metabolism","NT5E",28
"1385","Purine Metabolism","SLC2A9",28
"1386","Purine Metabolism","ADA",28
"1387","Purine Metabolism","APRT",28
"1388","Purine Metabolism","GDA",28
"1389","Purine Metabolism","HPRT1",28
"1390","Purine Metabolism","SLC28A2",28
"1391","Purine Metabolism","SLC28A3",28
"1392","Purine Metabolism","SLC29A2",28
"1393","Purine Metabolism","XDH",28
"1394","Pyrimidine Biosynthesis","CPS1",7
"1395","Pyrimidine Biosynthesis","PRPS1",7
"1396","Pyrimidine Biosynthesis","PRPS1L1",7
"1397","Pyrimidine Biosynthesis","PRPS2",7
"1398","Pyrimidine Biosynthesis","CAD",7
"1399","Pyrimidine Biosynthesis","DHODH",7
"1400","Pyrimidine Biosynthesis","UMPS",7
"1401","Pyrimidine Metabolism","ALDH6A1",22
"1402","Pyrimidine Metabolism","DUT",22
"1403","Pyrimidine Metabolism","NT5C",22
"1404","Pyrimidine Metabolism","TK1",22
"1405","Pyrimidine Metabolism","TK2",22
"1406","Pyrimidine Metabolism","UCK1",22
"1407","Pyrimidine Metabolism","UCK2",22
"1408","Pyrimidine Metabolism","UPP2",22
"1409","Pyrimidine Metabolism","AICDA",22
"1410","Pyrimidine Metabolism","CDA",22
"1411","Pyrimidine Metabolism","CTPS",22
"1412","Pyrimidine Metabolism","CTPS2",22
"1413","Pyrimidine Metabolism","DCTD",22
"1414","Pyrimidine Metabolism","DPYD",22
"1415","Pyrimidine Metabolism","DPYS",22
"1416","Pyrimidine Metabolism","DPYSL2",22
"1417","Pyrimidine Metabolism","DPYSL3",22
"1418","Pyrimidine Metabolism","SLC28A1",22
"1419","Pyrimidine Metabolism","SLC28A3",22
"1420","Pyrimidine Metabolism","SLC29A1",22
"1421","Pyrimidine Metabolism","UPB1",22
"1422","Pyrimidine Metabolism","UPP1",22
"1423","Pyruvate Metabolism","SDS",9
"1424","Pyruvate Metabolism","GPT",9
"1425","Pyruvate Metabolism","GPT2",9
"1426","Pyruvate Metabolism","HAO1",9
"1427","Pyruvate Metabolism","HAO2",9
"1428","Pyruvate Metabolism","GRHPR",9
"1429","Pyruvate Metabolism","AGXT",9
"1430","Pyruvate Metabolism","AGXT2",9
"1431","Pyruvate Metabolism","AGXT2L1",9
"1432","Retinol Metabolism","ADH1A",22
"1433","Retinol Metabolism","ADH1B",22
"1434","Retinol Metabolism","ADH1C",22
"1435","Retinol Metabolism","ADH7",22
"1436","Retinol Metabolism","AOX1",22
"1437","Retinol Metabolism","ZADH2",22
"1438","Retinol Metabolism","ALDH1A2",22
"1439","Retinol Metabolism","ALDH1A3",22
"1440","Retinol Metabolism","BCMO1",22
"1441","Retinol Metabolism","LRAT",22
"1442","Retinol Metabolism","PNPLA4",22
"1443","Retinol Metabolism","RDH10",22
"1444","Retinol Metabolism","RDH11",22
"1445","Retinol Metabolism","RDH12",22
"1446","Retinol Metabolism","RDH13",22
"1447","Retinol Metabolism","RDH14",22
"1448","Retinol Metabolism","RDH16",22
"1449","Retinol Metabolism","RDH5",22
"1450","Retinol Metabolism","RDH8",22
"1451","Retinol Metabolism","SDR16C5",22
"1452","Retinol Metabolism","UGT1A10",22
"1453","Retinol Metabolism","UGT1A8",22
"1454","Riboflavin Metabolism","ACP1",6
"1455","Riboflavin Metabolism","ACP2",6
"1456","Riboflavin Metabolism","ENPP1",6
"1457","Riboflavin Metabolism","FLAD1",6
"1458","Riboflavin Metabolism","RFK",6
"1459","Riboflavin Metabolism","TYR",6
"1460","ROS Detoxification","ADH1A",32
"1461","ROS Detoxification","ADH1B",32
"1462","ROS Detoxification","ADH1C",32
"1463","ROS Detoxification","ADH7",32
"1464","ROS Detoxification","AKR1B1",32
"1465","ROS Detoxification","AKR1A1",32
"1466","ROS Detoxification","AKR1C4",32
"1467","ROS Detoxification","ALDH1A1",32
"1468","ROS Detoxification","ALDH2",32
"1469","ROS Detoxification","ALDH3A1",32
"1470","ROS Detoxification","ALDH3B1",32
"1471","ROS Detoxification","ALDH3B2",32
"1472","ROS Detoxification","AOX1",32
"1473","ROS Detoxification","ZADH2",32
"1474","ROS Detoxification","TXNRD1",32
"1475","ROS Detoxification","TXNRD2",32
"1476","ROS Detoxification","CAT",32
"1477","ROS Detoxification","EPX",32
"1478","ROS Detoxification","LPO",32
"1479","ROS Detoxification","MPO",32
"1480","ROS Detoxification","PRDX1",32
"1481","ROS Detoxification","PRDX2",32
"1482","ROS Detoxification","PRDX3",32
"1483","ROS Detoxification","PRDX5",32
"1484","ROS Detoxification","PRDX6",32
"1485","ROS Detoxification","PXDN",32
"1486","ROS Detoxification","PXDNL",32
"1487","ROS Detoxification","SOD1",32
"1488","ROS Detoxification","SOD2",32
"1489","ROS Detoxification","SOD3",32
"1490","ROS Detoxification","SLC2A10",32
"1491","ROS Detoxification","TPO",32
"1492","Selenoamino acid metabolism","AHCY",13
"1493","Selenoamino acid metabolism","AHCYL1",13
"1494","Selenoamino acid metabolism","AHCYL2",13
"1495","Selenoamino acid metabolism","CBS",13
"1496","Selenoamino acid metabolism","CTH",13
"1497","Selenoamino acid metabolism","MAT1A",13
"1498","Selenoamino acid metabolism","MAT2A",13
"1499","Selenoamino acid metabolism","MAT2B",13
"1500","Selenoamino acid metabolism","PAPSS1",13
"1501","Selenoamino acid metabolism","PAPSS2",13
"1502","Selenoamino acid metabolism","SCLY",13
"1503","Selenoamino acid metabolism","SEPHS1",13
"1504","Selenoamino acid metabolism","SEPHS2",13
"1505","Sphingolipid Metabolism","A4GALT",36
"1506","Sphingolipid Metabolism","ARSA",36
"1507","Sphingolipid Metabolism","ASAH1",36
"1508","Sphingolipid Metabolism","B3GALNT1",36
"1509","Sphingolipid Metabolism","B3GALT4",36
"1510","Sphingolipid Metabolism","B3GALT5",36
"1511","Sphingolipid Metabolism","B3GNT3",36
"1512","Sphingolipid Metabolism","B4GALNT1",36
"1513","Sphingolipid Metabolism","CERK",36
"1514","Sphingolipid Metabolism","COL4A3BP",36
"1515","Sphingolipid Metabolism","FUT1",36
"1516","Sphingolipid Metabolism","GAL3ST1",36
"1517","Sphingolipid Metabolism","GALC",36
"1518","Sphingolipid Metabolism","GALNS",36
"1519","Sphingolipid Metabolism","GBA",36
"1520","Sphingolipid Metabolism","GBGT1",36
"1521","Sphingolipid Metabolism","GLA",36
"1522","Sphingolipid Metabolism","GLB1",36
"1523","Sphingolipid Metabolism","NAGA",36
"1524","Sphingolipid Metabolism","NEU1",36
"1525","Sphingolipid Metabolism","SGPL1",36
"1526","Sphingolipid Metabolism","SGPP1",36
"1527","Sphingolipid Metabolism","SLC33A1",36
"1528","Sphingolipid Metabolism","SMPD3",36
"1529","Sphingolipid Metabolism","SPHK2",36
"1530","Sphingolipid Metabolism","SPTLC1",36
"1531","Sphingolipid Metabolism","SPTLC2",36
"1532","Sphingolipid Metabolism","ST3GAL2",36
"1533","Sphingolipid Metabolism","ST3GAL5",36
"1534","Sphingolipid Metabolism","ST6GALNAC2",36
"1535","Sphingolipid Metabolism","ST6GALNAC3",36
"1536","Sphingolipid Metabolism","ST6GALNAC5",36
"1537","Sphingolipid Metabolism","ST6GALNAC6",36
"1538","Sphingolipid Metabolism","ST8SIA1",36
"1539","Sphingolipid Metabolism","ST8SIA5",36
"1540","Sphingolipid Metabolism","UGCG",36
"1541","Steroid Metabolism","FDPS",62
"1542","Steroid Metabolism","GGPS1",62
"1543","Steroid Metabolism","HMGCS1",62
"1544","Steroid Metabolism","HMGCS2",62
"1545","Steroid Metabolism","LSS",62
"1546","Steroid Metabolism","MVD",62
"1547","Steroid Metabolism","MVK",62
"1548","Steroid Metabolism","NSDHL",62
"1549","Steroid Metabolism","PMVK",62
"1550","Steroid Metabolism","SC4MOL",62
"1551","Steroid Metabolism","SC5DL",62
"1552","Steroid Metabolism","SOAT1",62
"1553","Steroid Metabolism","SQLE",62
"1554","Steroid Metabolism","TM7SF2",62
"1555","Steroid Metabolism","HSD17B12",62
"1556","Steroid Metabolism","ABCC1",62
"1557","Steroid Metabolism","ABCC4",62
"1558","Steroid Metabolism","AKR1C1",62
"1559","Steroid Metabolism","AKR1C4",62
"1560","Steroid Metabolism","AKR1D1",62
"1561","Steroid Metabolism","DHCR24",62
"1562","Steroid Metabolism","CYP11A1",62
"1563","Steroid Metabolism","CYP11B1",62
"1564","Steroid Metabolism","CYP11B2",62
"1565","Steroid Metabolism","CYP17A1",62
"1566","Steroid Metabolism","CYP19A1",62
"1567","Steroid Metabolism","CYP1B1",62
"1568","Steroid Metabolism","CYP21A2",62
"1569","Steroid Metabolism","CYP3A43",62
"1570","Steroid Metabolism","CYP3A7",62
"1571","Steroid Metabolism","EBP",62
"1572","Steroid Metabolism","FDFT1",62
"1573","Steroid Metabolism","HSD11B1",62
"1574","Steroid Metabolism","HSD11B2",62
"1575","Steroid Metabolism","HSD17B1",62
"1576","Steroid Metabolism","HSD17B2",62
"1577","Steroid Metabolism","HSD17B3",62
"1578","Steroid Metabolism","HSD17B7",62
"1579","Steroid Metabolism","HSD17B8",62
"1580","Steroid Metabolism","HSD3B1",62
"1581","Steroid Metabolism","HSD3B2",62
"1582","Steroid Metabolism","SCP2",62
"1583","Steroid Metabolism","SLC25A1",62
"1584","Steroid Metabolism","SLCO1A2",62
"1585","Steroid Metabolism","SLCO1B1",62
"1586","Steroid Metabolism","SLCO1B3",62
"1587","Steroid Metabolism","SLCO1C1",62
"1588","Steroid Metabolism","SLCO3A1",62
"1589","Steroid Metabolism","SLCO4A1",62
"1590","Steroid Metabolism","SRD5A1",62
"1591","Steroid Metabolism","SRD5A2",62
"1592","Steroid Metabolism","STARD3",62
"1593","Steroid Metabolism","STS",62
"1594","Steroid Metabolism","SULT1A1",62
"1595","Steroid Metabolism","SULT1E1",62
"1596","Steroid Metabolism","SULT2A1",62
"1597","Steroid Metabolism","SULT2B1",62
"1598","Steroid Metabolism","UGT1A10",62
"1599","Steroid Metabolism","UGT1A8",62
"1600","Steroid Metabolism","UGT2B28",62
"1601","Steroid Metabolism","UGT2B4",62
"1602","Steroid Metabolism","UGT2B7",62
"1603","Sugar Degradation","AKR1A1",11
"1604","Sugar Degradation","AKR1C4",11
"1605","Sugar Degradation","AKR1B1",11
"1606","Sugar Degradation","AMY1A",11
"1607","Sugar Degradation","AMY2A",11
"1608","Sugar Degradation","AMY2B",11
"1609","Sugar Degradation","ATHL1",11
"1610","Sugar Degradation","GBA3",11
"1611","Sugar Degradation","MGAM",11
"1612","Sugar Degradation","SI",11
"1613","Sugar Degradation","TREH",11
"1614","Taurine and hypotaurine metabolism","GGT1",4
"1615","Taurine and hypotaurine metabolism","CDO1",4
"1616","Taurine and hypotaurine metabolism","CSAD",4
"1617","Taurine and hypotaurine metabolism","SLC6A6",4
"1618","Thiamine Metabolism","SLC19A1",5
"1619","Thiamine Metabolism","SLC19A2",5
"1620","Thiamine Metabolism","SLC19A3",5
"1621","Thiamine Metabolism","THTPA",5
"1622","Thiamine Metabolism","TPK1",5
"1623","Transport, Endoplasmic Reticular","SLC33A1",3
"1624","Transport, Endoplasmic Reticular","SLC35D1",3
"1625","Transport, Endoplasmic Reticular","SLC37A4",3
"1626","Transport, Extracellular","SLC3A2",67
"1627","Transport, Extracellular","ATP1A1",67
"1628","Transport, Extracellular","ATP1A2",67
"1629","Transport, Extracellular","ATP1A3",67
"1630","Transport, Extracellular","ATP1A4",67
"1631","Transport, Extracellular","ATP1B1",67
"1632","Transport, Extracellular","ATP1B2",67
"1633","Transport, Extracellular","ATP1B3",67
"1634","Transport, Extracellular","ATP1B4",67
"1635","Transport, Extracellular","ATP2B1",67
"1636","Transport, Extracellular","ATP2B2",67
"1637","Transport, Extracellular","ATP2B3",67
"1638","Transport, Extracellular","ATP2B4",67
"1639","Transport, Extracellular","ATP4A",67
"1640","Transport, Extracellular","ATP4B",67
"1641","Transport, Extracellular","RHAG",67
"1642","Transport, Extracellular","RHBG",67
"1643","Transport, Extracellular","SLC12A1",67
"1644","Transport, Extracellular","SLC12A2",67
"1645","Transport, Extracellular","SLC12A3",67
"1646","Transport, Extracellular","SLC12A4",67
"1647","Transport, Extracellular","SLC12A5",67
"1648","Transport, Extracellular","SLC12A6",67
"1649","Transport, Extracellular","SLC12A7",67
"1650","Transport, Extracellular","SLC13A1",67
"1651","Transport, Extracellular","SLC13A4",67
"1652","Transport, Extracellular","SLC15A2",67
"1653","Transport, Extracellular","SLC17A1",67
"1654","Transport, Extracellular","SLC17A2",67
"1655","Transport, Extracellular","SLC17A3",67
"1656","Transport, Extracellular","SLC17A4",67
"1657","Transport, Extracellular","SLC20A1",67
"1658","Transport, Extracellular","SLC20A2",67
"1659","Transport, Extracellular","SLC24A1",67
"1660","Transport, Extracellular","SLC24A2",67
"1661","Transport, Extracellular","SLC24A3",67
"1662","Transport, Extracellular","SLC24A4",67
"1663","Transport, Extracellular","SLC26A1",67
"1664","Transport, Extracellular","SLC26A11",67
"1665","Transport, Extracellular","SLC26A2",67
"1666","Transport, Extracellular","SLC26A3",67
"1667","Transport, Extracellular","SLC26A4",67
"1668","Transport, Extracellular","SLC26A6",67
"1669","Transport, Extracellular","SLC26A7",67
"1670","Transport, Extracellular","SLC26A8",67
"1671","Transport, Extracellular","SLC26A9",67
"1672","Transport, Extracellular","SLC34A1",67
"1673","Transport, Extracellular","SLC34A2",67
"1674","Transport, Extracellular","SLC34A3",67
"1675","Transport, Extracellular","SLC4A1",67
"1676","Transport, Extracellular","SLC4A10",67
"1677","Transport, Extracellular","SLC4A2",67
"1678","Transport, Extracellular","SLC4A3",67
"1679","Transport, Extracellular","SLC4A4",67
"1680","Transport, Extracellular","SLC4A5",67
"1681","Transport, Extracellular","SLC4A7",67
"1682","Transport, Extracellular","SLC4A8",67
"1683","Transport, Extracellular","SLC4A9",67
"1684","Transport, Extracellular","SLC5A5",67
"1685","Transport, Extracellular","SLC8A1",67
"1686","Transport, Extracellular","SLC8A2",67
"1687","Transport, Extracellular","SLC8A3",67
"1688","Transport, Extracellular","SLC9A1",67
"1689","Transport, Extracellular","SLC9A2",67
"1690","Transport, Extracellular","SLC9A3",67
"1691","Transport, Extracellular","SLC9A4",67
"1692","Transport, Extracellular","SLC9A5",67
"1693","Transport, Golgi Apparatus","SLC2A1",10
"1694","Transport, Golgi Apparatus","SLC35A1",10
"1695","Transport, Golgi Apparatus","SLC35A2",10
